GROUP,INFORMANT,TREATMENT,CONTEXT,TIMEPOINT,CONSECUTIVE,TRIAL,ORIENT,MOVE,SOCIAL,TOTAL,SURV100
dom1,dom,social,group,six,four,6,1,1,6,7,0
dom2,dom,social,group,six,four,6,1,1,6,7,0
dom3,dom,social,group,six,four,6,1,1,3,4,0
dom4,dom,social,group,six,four,6,3,3,2,5,0
dom10,dom,social,group,fourteen,four,14,5,4,3,7,0
dom11,dom,social,group,fourteen,four,14,5,4,2,6,0
dom13,dom,social,group,fourteen,four,14,5,4,3,7,0
dom5,dom,social,group,twentytwo,four,22,2,1,0,1,0
dom7,dom,social,group,twentytwo,four,18,6,5,3,8,1
dom8,dom,social,group,twentytwo,four,22,5,3,2,5,0
dom9,dom,social,group,twentytwo,four,22,7,3,3,7,0
sub1,sub,social,group,six,four,6,5,0,0,0,0
sub2,sub,social,group,six,four,6,3,1,2,3,0
sub3,sub,social,group,six,four,6,6,2,2,4,0
sub4,sub,social,group,six,four,6,5,1,3,4,0
sub9,sub,social,group,fourteen,four,14,2,4,0,4,0
sub10,sub,social,group,fourteen,four,14,3,4,4,8,0
sub11,sub,social,group,fourteen,four,14,3,5,1,6,0
sub5,sub,social,group,twentytwo,four,22,2,1,1,2,0
sub6,sub,social,group,twentytwo,four,13,7,6,2,8,1
sub8,sub,social,group,twentytwo,four,22,4,3,2,5,0
sub12,sub,social,group,twentytwo,four,22,4,2,4,6,0
male1,male,individual,alone,six,four,6,0,0,,0,0
male2,male,individual,alone,six,four,6,0,0,,0,0
male3,male,individual,alone,six,four,6,0,0,,0,0
male4,male,individual,alone,six,four,6,0,0,,0,0
male5,male,individual,alone,six,four,6,0,0,,0,0
male6,male,individual,alone,six,four,6,0,0,,0,0
male7,male,individual,alone,fourteen,four,14,0,0,,0,0
male8,male,individual,alone,fourteen,four,14,0,0,,0,0
male9,male,individual,alone,fourteen,four,14,0,0,,0,0
male10,male,individual,alone,fourteen,four,14,0,0,,0,0
male11,male,individual,alone,twentytwo,four,22,1,1,,1,0
male12,male,individual,alone,twentytwo,four,22,1,1,,1,0
male13,male,individual,alone,twentytwo,four,22,0,0,,0,0
male14,male,individual,alone,twentytwo,four,22,0,0,,0,0
female1,female,individual,alone,six,four,6,0,0,,0,0
female2,female,individual,alone,six,four,6,0,0,,0,0
female3,female,individual,alone,six,four,6,0,0,,0,0
female4,female,individual,alone,six,four,6,1,0,,0,0
female5,female,individual,alone,six,four,6,1,1,,1,0
female6,female,individual,alone,six,four,6,0,0,,0,0
female7,female,individual,alone,fourteen,four,14,1,1,,1,0
female8,female,individual,alone,fourteen,four,14,0,0,,0,0
female9,female,individual,alone,fourteen,four,14,1,1,,1,0
female10,female,individual,alone,fourteen,four,14,0,0,,0,0
female11,female,individual,alone,fourteen,four,14,1,0,,0,0
female12,female,individual,alone,fourteen,four,14,0,0,,0,0
female13,female,individual,alone,twentytwo,four,22,0,0,,0,0
female14,female,individual,alone,twentytwo,four,22,1,1,,1,0
