ID,RANK,SEX,LENGTH,WEIGHT,GROUP,INFORMANT,TREATMENT,TIMEPOINT,ORIENT,MOVE,TOTAL,PERCENT,LEARNED,LEARN.RATE,DLG,DLV,DM1,DM3,VS,APPROACHES,APPROACH.AVG,APPROACH.DIFF,DISPLACEMENTS,DISPLACE.AVG,DISPLACE.DIFF,AGGEFF.TRIAL,AGGEFF.CUMUL,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.AVG
19,dom,male,42.5,2.27,dom1,DOM,DEMONSTRATOR,6,1,1,7,100,YES,early,0.02285743,0.0128433,0.022981,0.020397671,0.020649238,2,4.833333333,-7,2,3.333333333,-4,1,0.689655172,101,12.625,6.84375,7.833333333
20,sub,male,41,1.95,dom1,DOM,DEMONSTRATOR,6,1,1,7,100,YES,early,0.03055959,0.014988291,0.021927859,0.007778208,0.029977267,2,4.833333333,-7,2,3.333333333,-4,1,0.689655172,101,12.625,6.84375,7.833333333
21,fem,female,46,2.5,dom1,DOM,DEMONSTRATOR,6,1,1,7,100,YES,early,0.020197327,0.011540233,0.033584604,0.01219247,0.031653675,2,4.833333333,-7,2,3.333333333,-4,1,0.689655172,101,12.625,6.84375,7.833333333
28,dom,male,47.5,2.99,dom2,DOM,DEMONSTRATOR,6,1,1,7,100,NO,not,0.023852302,0.01015933,0.004895244,0.012015791,0.015324967,9,12.16666667,-8,7,10,-5,0.777777778,0.821917808,71,8.875,6.125,6.416666667
29,sub,male,42,2.04,dom2,DOM,DEMONSTRATOR,6,1,1,7,100,NO,not,0.0145392,0.0193843,0.021927859,0.007251379,0.01535533,9,12.16666667,-8,7,10,-5,0.777777778,0.821917808,71,8.875,6.125,6.416666667
30,fem,female,44,2.17,dom2,DOM,DEMONSTRATOR,6,1,1,7,100,NO,not,0.011895839,0.018854797,0.033584604,0.00650705,0.015932723,9,12.16666667,-8,7,10,-5,0.777777778,0.821917808,71,8.875,6.125,6.416666667
31,dom,male,51,4.13,dom3,DOM,DEMONSTRATOR,6,1,1,4,57,NO,not,0.0218045,0.01297543,0.0396101,0.004504473,0.0216983,19,21.83333333,-11,18,17.16666667,0,0.947368421,0.786259542,78,9.75,11.21875,12
32,sub,male,48,3.02,dom3,DOM,DEMONSTRATOR,6,1,1,4,57,NO,not,0.01783251,0.01023845,0.0299843,0.02137594,0.01995323,19,21.83333333,-11,18,17.16666667,0,0.947368421,0.786259542,78,9.75,11.21875,12
33,fem,female,43,2.03,dom3,DOM,DEMONSTRATOR,6,1,1,4,57,NO,not,0.0192341,0.0112943,0.025498,0.020936222,0.01884624,19,21.83333333,-11,18,17.16666667,0,0.947368421,0.786259542,78,9.75,11.21875,12
34,dom,male,49,3.2,dom4,DOM,DEMONSTRATOR,6,3,3,5,71,NO,not,0.0203186,0.0109534,0.0219832,0.021032632,0.018012832,30,22.33333333,26,26,18.5,25,0.866666667,0.828358209,172,21.5,18.5,15.89583333
35,sub,male,41,1.75,dom4,DOM,DEMONSTRATOR,6,3,3,5,71,NO,not,0.011008312,0.01893402,0.0224571,0.020538086,0.005381596,30,22.33333333,26,26,18.5,25,0.866666667,0.828358209,172,21.5,18.5,15.89583333
