GROUP,INFORMANT,TREATMENT,CONTEXT,LEARN.RATE,TIMEPOINT,TRIAL,ORIENT,MOVE,SOCIAL,TOTAL,PROPORTION,PERCENT,APPROACHES,APPROACH.AVG,APPROACH.DIFF,DISPLACEMENTS,DISPLACE.AVG,DISPLACE.DIFF,AGGEFF.TRIAL,AGGEFF.TOTAL,AGGEFF.CUMUL,APPROACHED,DISPLACED,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.AVG
dom1,dom,social,group,early,six,1,0,0,0,0,0,0,9,4.833333333,-7,6,3.333333333,-4,0.666666667,0.689655172,0.689655172,0,0,62,7.75,,
dom1,dom,social,group,early,six,2,1,2,5,7,1,100,7,,,5,,,0.714285714,0.689655172,,0,0,62,7.75,,
dom1,dom,social,group,early,six,3,2,2,2,4,0.57,57,4,,,2,,,0.5,0.689655172,,0,0,40,5,,
dom1,dom,social,group,early,six,4,3,3,4,7,1,100,6,,,4,,,0.666666667,0.689655172,,0,0,55,6.875,6.84375,
dom1,dom,social,group,early,six,5,3,3,5,8,1,100,1,,,1,,,1,0.689655172,,0,0,56,7,,
dom1,dom,social,group,early,six,6,1,1,6,7,1,100,2,,,2,,,1,0.689655172,,0,0,101,12.625,,7.833333333
dom2,dom,social,group,not,six,1,0,0,0,0,0,0,17,12.16666667,-8,12,10,-5,0.705882353,0.821917808,0.821917808,0,0,68,8.5,,
dom2,dom,social,group,not,six,2,3,0,0,0,0,0,19,,,14,,,0.736842105,0.821917808,,0,0,44,5.5,,
dom2,dom,social,group,not,six,3,1,3,1,4,0.57,57,9,,,9,,,1,0.821917808,,0,0,30,3.75,,
dom2,dom,social,group,not,six,4,0,0,0,0,0,0,10,,,9,,,0.9,0.821917808,,0,0,51,6.375,,
dom2,dom,social,group,not,six,5,3,0,0,0,0,0,9,,,9,,,1,0.821917808,,0,0,44,5.5,,
dom2,dom,social,group,not,six,6,1,1,6,7,1,100,9,,,7,,,0.777777778,0.821917808,,0,0,71,8.875,6.125,6.416666667
dom3,dom,social,group,not,six,1,1,1,1,2,0.29,29,30,21.83333333,-11,18,17.16666667,0,0.6,0.786259542,0.786259542,0,0,115,14.375,,
dom3,dom,social,group,not,six,2,1,1,2,3,0.43,43,22,,,18,,,0.818181818,0.786259542,,0,0,102,12.75,,
dom3,dom,social,group,not,six,3,3,2,1,3,0.43,43,23,,,17,,,0.739130435,0.786259542,,0,0,83,10.375,,
dom3,dom,social,group,not,six,4,2,2,4,6,0.86,86,24,,,21,,,0.875,0.786259542,,0,0,97,12.125,,
dom3,dom,social,group,not,six,5,0,0,0,0,0,0,13,,,11,,,0.846153846,0.786259542,,0,0,101,12.625,,
dom3,dom,social,group,not,six,6,1,1,3,4,0.57,57,19,,,18,,,0.947368421,0.786259542,,0,0,78,9.75,11.21875,12
dom4,dom,social,group,not,six,1,6,1,0,1,0.14,14,4,22.33333333,26,1,18.5,25,0.25,0.828358209,0.828358209,0,0,74,9.25,,
dom4,dom,social,group,not,six,2,1,1,0,1,0.14,14,25,,,22,,,0.88,0.828358209,,0,0,97,12.125,,
