GROUP,INFORMANT,TREATMENT,CONTEXT,TIMEPOINT,LEARN.RATE,TRIAL,SURV.70,ORIENT,MOVE,SOCIAL,TOTAL,PROPORTION,PERCENT,APPROACHES,DISPLACEMENTS,AGGEFF.TRIAL,AGGEFF.TOTAL,APPROACHED,DISPLACED,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.T1.T10
dom1,dom,social,group,six,early,4,1,3,3,4,7,1,100,6,4,0.666666667,0.689655172,0,0,55,6.875,6.84375,7.833333333
dom10,dom,social,group,fourteen,early,7,1,3,2,3,5,0.71,71,21,14,0.666666667,0.788732394,0,0,180,22.5,17.9375,17.6
dom11,dom,social,group,fourteen,early,7,1,5,3,3,6,0.86,86,14,11,0.785714286,0.88700565,0,0,82,10.25,9.5,9.2125
dom13,dom,social,group,fourteen,early,10,1,4,2,3,5,0.71,71,14,12,0.857142857,0.898734177,,,100,12.5,12.78125,11.1
dom5,dom,social,group,twentytwo,not,23,0,2,1,0,1,0.14,14,14,13,0.928571429,0.81377551,,,125,15.625,15.03125,8.5625
dom7,dom,social,group,twentytwo,early,7,1,4,4,2,6,0.86,86,24,23,0.958333333,0.873831776,,,83,10.375,10.125,10.325
dom8,dom,social,group,twentytwo,late,21,1,4,4,2,6,0.86,86,10,8,0.8,0.849264706,,,126,15.75,16.75,9.425
dom9,dom,social,group,twentytwo,early,10,1,7,4,3,7,1,100,28,26,0.928571429,0.875273523,,,99,12.375,11.4375,9.8125
sub9,sub,social,group,fourteen,early,6,1,5,3,2,5,0.71,71,8,5,0.625,0.597222222,,,79,9.875,10.40625,10.925
sub10,sub,social,group,fourteen,early,7,1,6,3,2,5,0.71,71,17,9,0.529411765,0.536231884,,,108,13.5,12.75,12.5875
sub11,sub,social,group,fourteen,early,10,1,5,1,4,5,0.71,71,6,6,1,0.630434783,,,130,16.25,16.09375,14.1375
sub5,sub,social,group,twentytwo,not,23,0,2,1,1,2,0.29,29,0,0,0,0.619354839,,,150,18.75,18.0625,10.875
sub6,sub,social,group,twentytwo,early,5,1,2,2,4,6,0.86,86,25,14,0.56,0.561904762,,,110,13.75,12.34375,12.8875
sub8,sub,social,group,twentytwo,late,20,1,3,3,4,7,1,100,43,27,0.627906977,0.789203085,,,132,16.5,15.8125,9.6
sub12,sub,social,group,twentytwo,late,19,1,4,2,3,5,0.71,71,0,0,0,0.685185185,,,127,15.875,16.625,13.5
male11,male,individual,alone,twentytwo,late,14,1,1,1,NA,1,1,100,22,0,0,0,,,15,15,8.5,
male12,male,individual,alone,twentytwo,late,14,1,0,1,NA,1,1,100,22,0,0,0,,,20,20,13.75,
male13,male,individual,alone,twentytwo,not,23,0,0,0,NA,0,0,0,5,0,0,0,,,10,10,8,
male14,male,individual,alone,twentytwo,not,23,0,0,0,NA,0,0,0,5,0,0,0,,,5,5,7.5,
female5,female,individual,alone,six,early,5,1,1,1,NA,1,1,100,0,0,0,0,,,0,0,0,
female9,female,individual,alone,fourteen,early,9,1,1,1,NA,1,1,100,5,0,0,0,,,10,10,5.25,
female13,female,individual,alone,twentytwo,not,23,0,0,0,NA,0,0,0,0,0,0,0,,,9,9,11.5,
female14,female,individual,alone,twentytwo,late,21,1,1,1,NA,1,1,100,0,0,0,0,,,7,7,8.25,
